[GIN] 2018/11/01 - 14:27:47 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 14:27:47 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 14:51:54 | 200 |      2.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 14:51:54 | 200 |      17.001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 14:58:14 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 14:58:14 | 200 |      9.0005ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 14:58:47 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 14:58:47 | 200 |      9.0006ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:02:10 | 200 |           1ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:03:41 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:11:23 | 200 |            0s |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:11:24 | 200 |            0s |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:11:24 | 200 |            0s |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:11:24 | 200 |            0s |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:15:16 | 200 |            0s |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:37:58 | 200 |      2.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:38:55 | 200 |      2.0002ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:40:03 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:43:04 | 200 |           1ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:43:43 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:44:33 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 15:48:51 | 200 |           1ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 16:00:07 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 16:00:40 | 200 |      2.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 16:07:16 | 200 |      2.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 16:08:46 | 200 |           1ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 16:09:11 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 16:09:18 | 200 |            0s |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 16:54:44 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:55:16 | 200 |           1ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:56:06 | 200 |      1.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:56:14 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:58:16 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:58:30 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:42 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:47 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:54 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:55 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:56 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:57 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:57 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:58 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 16:59:59 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:00:00 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:00:01 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:00:04 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:00:09 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:00:29 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:07:06 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:07:27 | 400 |           1ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:07:54 | 400 |           1ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:08:06 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:09:27 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:11:45 | 200 |      1.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:13:21 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:14:44 | 200 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:15:18 | 200 |      1.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:16:03 | 400 |            0s |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 17:16:30 | 400 |            0s |             ::1 | POST     /api/menuinsert
